FacilityID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,UrbanRural,Plant operator name,Balancing Authority Name,Balancing Authority Code,NERC region acronym,eGRID subregion acronym,Plant primary fuel,Plant primary coal/oil/gas/ other fossil fuel category,Plant coal generation percent (resource mix),Plant oil generation percent (resource mix),Plant gas generation percent (resource mix),Plant nuclear generation percent (resource mix),Plant hydro generation percent (resource mix),Plant biomass generation percent (resource mix),Plant wind generation percent (resource mix),Plant solar generation percent (resource mix),Plant geothermal generation percent (resource mix),Plant other fossil generation percent (resource mix),Plant other unknown / purchased fuel generation percent (resource mix)
54656,International Paper Riegelwood Mill,,,NC,,34.3533,-78.2137,Columbus,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,BLQ,BIOMASS,0,0,12.83016044,0,0,87.16983956,0,0,0,0,0
56962,Iredell County LFG Facility,,,NC,,35.769281,-80.826001,Iredell,,,,EnergyUnited Elec Member Corp,Duke Energy Carolinas,DUK,SERC,SRVC,LFG,BIOMASS,0,0,0,0,0,100,0,0,0,0,0
50890,Ivy River Hydro,,,NC,,35.771627,-82.61827,Madison,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,WAT,HYDRO,,,,,,,,,,,
61292,Jackson Solar Farm,,,NC,,35.75,-77.83,Wilson,,,,City of Wilson,Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
59503,Jacob Solar,,,NC,,36.2922,-79.6214,Rockingham,,,,"Duke Energy Carolinas, LLC",Duke Energy Carolinas,DUK,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
59170,Jakana Solar,,,NC,,35.875278,-77.081111,Martin,,,,Virginia Electric & Power Co,"PJM Interconnection, LLC",PJM,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
62329,"Jamesville Road Solar, LLC",,,NC,,35.845354,-76.801491,Martin,,,,Virginia Electric & Power Co,"PJM Interconnection, LLC",PJM,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
60784,Jersey Holdings,,,NC,,34.564307,-79.037483,Robeson,,,,Lumbee River Elec Member Corp,Duke Energy Carolinas,DUK,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
60290,Jester Solar,,,NC,,35.36118,-77.8861,Wayne,,,,Duke Energy Progress - (NC),Duke Energy Carolinas,DUK,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
58390,Jordan Hydroelectric Project,,,NC,,35.654722,-79.068333,Chatham,,,,"Duke Energy Carolinas, LLC",Duke Energy Carolinas,DUK,SERC,SRVC,WAT,HYDRO,0,0,0,0,100,0,0,0,0,0,0
